YP_006867372	408491003	NC_018721	Psychroflexus torquis ATCC 700755| Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus.	P700755_001781	complement(1899271..1900521)	"esterase_lipase superfamily protein"
YP_004691684	339504264	NC_015730	Roseobacter litoralis Och 149| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter.	RLO149_c027590	complement(2817637..2819346)	"hypothetical protein"
YP_866882	117926265	NC_008576	Magnetococcus marinus MC-1| Bacteria; Proteobacteria; Alphaproteobacteria; Magnetococcales; Magnetococcaceae; Magnetococcus.	Mmc1_2985	complement(3712669..3715902)	"sulfotransferase"
YP_001204830	146339782	NC_009445	Bradyrhizobium sp. ORS 278| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	BRADO2783	2990477..2991214	"hypothetical protein"
YP_006996617	414077299	NC_019427	Anabaena sp. 90| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	ANA_C12054	2301349..2302059	"hypothetical protein"
YP_006765381	410477744	NC_018649	Leptospirillum ferriphilum ML-04| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum.	LFML04_0172	166639..167457	"hypothetical protein"
YP_001403725	154150107	NC_009712	Methanoregula boonei 6A8| Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanoregulaceae; Methanoregula.	Mboo_0564	536581..537189	"hypothetical protein"
YP_005387972	383327118	NC_017039	Synechocystis sp. PCC 6803 substr. PCC-P| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	SYNPCCP_3040	3416189..3416935	"hypothetical protein"
YP_006360620	389858378			
YP_460480	85858278	NC_007759	Syntrophus aciditrophicus SB| Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophus.	SYN_01095	440315..442264	"hypothetical protein"
YP_007156084	440681289	NC_019771	Anabaena cylindrica PCC 7122| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	Anacy_1674	complement(1939308..1939991)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_002404537	218696870	NC_011748	Escherichia coli 55989| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	EC55989_3583	complement(3665435..3666319)	"lipoprotein NlpI"
YP_003371658	283780903	NC_013720	Pirellula staleyi DSM 6068| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Pirellula.	Psta_3134	complement(4042369..4044330)	"hypothetical protein"
YP_002047311	194447710	NC_011083	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	SeHA_C3574	complement(3463567..3464451)	"lipoprotein NlpI"
YP_003795989	302035667	NC_014355	Candidatus Nitrospira defluvii| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Nitrospira.	NIDE0282	complement(250676..251821)	"hypothetical protein"
YP_005168966	376297736	NC_016803	Desulfovibrio desulfuricans ND132| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DND132_2960	3302674..3304029	"hypothetical protein"
YP_005382303	383321450	NC_017038	Synechocystis sp. PCC 6803 substr. GT-I| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	SYNGTI_0541	594556..595752	"hypothetical protein"
YP_001230834	148264128	NC_009483	Geobacter uraniireducens Rf4| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	Gura_2071	2425541..2427814	"hypothetical protein"
YP_001974319	190576474	NC_010943	Stenotrophomonas maltophilia K279a| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group.	Smlt4692	complement(4845680..4848352)	"polysaccharide deacetylase family protein"
YP_787038	187479014	NC_010645	Bordetella avium 197N| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella.	BAV2527	complement(2733442..>2733954)	"lipoprotein (partial)"
YP_001798311	171464198	NC_010531	Polynucleobacter necessarius subsp. necessarius STIR1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter.	Pnec_1623	1425169..1426656	"outer membrane lipoprotein LolB"
YP_007076366	427730129	NC_019684	Nostoc sp. PCC 7524| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	Nos7524_2957	3580385..3582031	"Tfp pilus assembly protein PilF"
YP_005028012	372488447	NC_016616	Dechlorosoma suillum PS| Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Azospira.	Dsui_1786	complement(1876854..1878557)	"tetratricopeptide repeat protein"
YP_003450722	288960382	NC_013855	Azospirillum sp. B510| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZL_a06470	823550..827149	"TPR repeat-containing protein"
YP_004685061	339325368	NC_015726	Cupriavidus necator N-1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Cupriavidus.	CNE_1c12250	complement(1238188..1238889)	"TPR repeat containing protein"
YP_007129414	434394467	NC_019745	Gloeocapsa sp. PCC 7428| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Gloeocapsa.	Glo7428_3797	4221046..4221816	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_772046	115350207	NC_008390	Burkholderia ambifaria AMMD| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Bamb_0151	179553..182054	"hypothetical protein"
YP_001981966	192361665	NC_010995	Cellvibrio japonicus Ueda107| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Cellvibrio.	CJA_1479	1713713..1714498	"type IV pilus biogenesis protein PilF"
YP_003755286	300022675	NC_014313	Hyphomicrobium denitrificans ATCC 51888| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium.	Hden_1151	1203952..1206408	"hypothetical protein"
YP_002464253	219849820	NC_011831	Chloroflexus aggregans DSM 9485| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Cagg_2957	complement(3623117..3626911)	"ATPase AAA"
YP_001635491	163847447	NC_010175	Chloroflexus aurantiacus J-10-fl| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Caur_1887	complement(2588010..2588984)	"hypothetical protein"
YP_007202470	430743341	NC_019892	Singulisphaera acidiphila DSM 18658| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Singulisphaera.	Sinac_2466	complement(3055937..3060265)	"hypothetical protein"
YP_004701618	339487090	NC_015733	Pseudomonas putida S16| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PPS_2177	complement(2450772..2451134)	"hypothetical protein"
YP_132273	54302280	NC_006371	Photobacterium profundum SS9| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium.	PBPRB0600	complement(718444..719529)	"hypothetical protein"
YP_007894949	482893923	NC_021149	Azotobacter vinelandii CA| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter.	AvCA_40310	complement(4084059..4084817)	"type IV pilus biogenesis protein PilF"
YP_001602649	162148188	NC_010125	Gluconacetobacter diazotrophicus PA1 5| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconacetobacter.	GDI_2405	complement(2493571..2496489)	"hypothetical protein"
YP_008635197	549709228			
YP_007360383	442320362	NC_020126	Myxococcus stipitatus DSM 14675| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MYSTI_03387	4261746..4264565	"putative adventurous gliding motility protein"
YP_002952539	239905800	NC_012796	Desulfovibrio magneticus RS-1| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DMR_11620	1282441..1283310	"hypothetical protein"
YP_006799692	407684518	NC_018678	Alteromonas macleodii str. 'English Channel 673'| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	AMEC673_13145	complement(3068682..3069872)	"ATP-dependent protease La"
YP_008413578	530570363	NC_022075	Bacillus amyloliquefaciens subsp. plantarum UCMB5033| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	RBAU_2598	complement(2736395..2737045)	"putative tetratricopeptide repeat family protein"
YP_005499299	384060171	NC_017146	Acetobacter pasteurianus IFO 3283-26| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter.	APA26_16740	complement(1816142..1818025)	"O-linked N-acetylglucosamine transferase"
NP_953646	39997695	NC_002939	Geobacter sulfurreducens PCA| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	GSU2601	complement(2867892..2869649)	"TPR domain/SEC-C motif domain-containing protein"
YP_007113092	428315210	NC_019729	Oscillatoria nigro-viridis PCC 7112| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Oscillatoria.	Osc7112_0029	complement(36418..40509)	"Tetratricopeptide TPR_2 repeat-containing protein"
YP_007171374	428779588	NC_019780	Dactylococcopsis salina PCC 8305| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Dactylococcopsis.	Dacsa_1322	1348063..1350195	"serine/threonine protein kinase"
YP_004516808	333978863	NC_015573	Desulfotomaculum kuznetsovii DSM 6115| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum.	Desku_1424	complement(1438104..1439255)	"hypothetical protein"
YP_006775945	407465063	NC_018656	Candidatus Nitrosopumilus sp. AR2| Archaea; Thaumarchaeota; Nitrosopumilales; Nitrosopumilaceae; Nitrosopumilus.	NSED_06005	999155..999976	"hypothetical protein"
YP_001525834	158424542	NC_009937	Azorhizobium caulinodans ORS 571| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium.	AZC_2918	complement(3334138..3335001)	"hydantoinase"
YP_825425	116623269	NC_008536	Candidatus Solibacter usitatus Ellin6076| Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae; Candidatus Solibacter.	Acid_4176	5295234..5296436	"SecC motif-containing protein"
YP_001873366	186896254	NC_010634	Yersinia pseudotuberculosis PB1/+| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	YPTS_2952	complement(3276279..3277028)	"type IV pilus biogenesis/stability protein PilW"
YP_002484006	220908695	NC_011884	Cyanothece sp. PCC 7425| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan7425_3320	complement(3281765..3282307)	"hypothetical protein"
YP_005094449	374337744	NC_016749	Streptococcus macedonicus ACA-DC 198| Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	SMA_0768	766325..767560	"hypothetical protein"
