YP_007271970	438002227	NC_019954	Tepidanaerobacter acetatoxydans Re1| Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Tepidanaerobacter.	TepiRe1_1262	1209413..1210447	"NAD(P)H-dependent glycerol-3-phosphate dehydrogenase"
NP_781500	28210556	NC_004557	Clostridium tetani E88| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	CTC00839	888622..890709	"cellulose synthase"
YP_006327225	387896929	NC_017912	Bacillus amyloliquefaciens Y2| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	MUS_0423	434796..436910	"hypothetical protein"
YP_008772929	557604818	NC_022777	Clostridium tetani 12124569| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	BN906_00881	873659..875731	"cellulose synthase"
YP_001635557	163847513	NC_010175	Chloroflexus aurantiacus J-10-fl| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Caur_1953	2685096..2687159	"hypothetical protein"
YP_002547356	222106565	NC_011988	Agrobacterium vitis S4| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium.	Avi_5534	complement(527966..530242)	"celB protein"
YP_001170330	146280173	NC_009430	Rhodobacter sphaeroides ATCC 17025| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	Rsph17025_4174	216514..218697	"putative PAS/PAC sensor protein"
YP_006689707	404406992	NC_018590	Listeria monocytogenes SLCC2376| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMOSLCC2376_0509	552189..554240	"hypothetical protein"
YP_002542490	222083125	NC_011983	Agrobacterium radiobacter K84| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium; Agrobacterium tumefaciens complex.	Arad_9975	2582225..2584558	"cellulose synthase"
YP_004784056	344199730	NC_015942	Acidithiobacillus ferrivorans SS3| Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus.	Acife_1595	1594146..1596227	"cellulose synthase BcsB"
YP_003727103	298675353	NC_014253	Methanohalobium evestigatum Z-7303| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalobium.	Metev_1453	complement(1452924..1453928)	"IS605 OrfB family transposase"
YP_353409	77463905	NC_007493	Rhodobacter sphaeroides 2.4.1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	RSP_0332	complement(2059380..2061557)	"putative cellulose synthase"
YP_008274866	525870624	NC_021824	Listeria monocytogenes| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	M637_05320	1074155..1076206	"glycosyltransferase"
YP_001546349	159900102	NC_009972	Herpetosiphon aurantiacus DSM 785| Bacteria; Chloroflexi; Chloroflexia; Herpetosiphonales; Herpetosiphonaceae; Herpetosiphon.	Haur_3585	4508505..4510814	"hypothetical protein"
YP_005967448	386049457	NC_017546	Listeria monocytogenes FSL R2-561| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMKG_01366	565707..567758	"hypothetical protein"
YP_001431125	156740996	NC_009767	Roseiflexus castenholzii DSM 13941| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Roseiflexineae; Roseiflexaceae; Roseiflexus.	Rcas_0999	1304888..1307128	"hypothetical protein"
YP_003726759	298675009	NC_014253	Methanohalobium evestigatum Z-7303| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalobium.	Metev_1077	1032253..1033257	"IS605 OrfB family transposase"
YP_006230245	386757029	NC_017743	Bacillus sp. JS| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	MY9_0450	479303..481414	"purative regulator"
YP_006678078	405754614	NC_018586	Listeria monocytogenes SLCC2540| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMOSLCC2540_0535	559138..561189	"hypothetical protein"
YP_004854262	347547934	NC_016011	Listeria ivanovii subsp. ivanovii PAM 55| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LIV_0454	494609..496654	"hypothetical protein"
YP_006686800	405757524	NC_018589	Listeria monocytogenes SLCC2479| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMOSLCC2479_0537	565762..567813	"hypothetical protein"
YP_004747841	340781234	NC_015850	Acidithiobacillus caldus SM-1| Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus.	Atc_0491	complement(503387..505924)	"cellulose synthase subunit B"
YP_001313919	150377324	NC_009621	Sinorhizobium medicae WSM419| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium.	Smed_5209	170075..172396	"cellulose synthase subunit B"
YP_006715503	404491397	NC_006322	Bacillus licheniformis DSM 13 = ATCC 14580| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BLi04236	4071998..4074124	"cellulose synthase-like protein YdaN"
YP_007193524	433616729	NC_019848	Sinorhizobium meliloti GR4| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium.	C770_GR4pC1241	complement(1215321..1217663)	"Bacterial cellulose synthase subunit"
YP_006692485	404285899	NC_018591	Listeria monocytogenes serotype 7 str. SLCC2482| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMOSLCC2482_0532	570307..572358	"hypothetical protein"
YP_007532362	470160587	NC_020507	Bacillus subtilis subsp. subtilis 6051-HGW| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BSU6051_04310	483842..485953	"putative regulator YdaN"
YP_006753667	406703313	NC_018642	Listeria monocytogenes L312| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMOL312_0538	570533..572584	"hypothetical protein"
YP_005129118	375361079	NC_016784	Bacillus amyloliquefaciens subsp. plantarum CAU B946| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BACAU_0389	436077..438179	"protein YdaN"
YP_008411438	530568223	NC_022075	Bacillus amyloliquefaciens subsp. plantarum UCMB5033| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	RBAU_0427	482917..485031	"Uncharacterized protein ydaN"
NP_357299	159185686	NC_003063	Agrobacterium fabrum str. C58| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium; Agrobacterium tumefaciens complex.	Atu3308	complement(335771..338254)	"celB protein"
YP_003463682	289433810	NC_013891	Listeria seeligeri serovar 1/2b str. SLCC3954| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	lse_0443	470845..472890	"hypothetical protein"
YP_008277736	525878536	NC_021825	Listeria monocytogenes| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	M638_05440	1040259..1042310	"glycosyltransferase"
YP_007496145	452854462	NC_020410	Bacillus amyloliquefaciens subsp. plantarum UCMB5036| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BAM5036_0413	454467..456581	"putative regulator"
YP_002975125	241204029	NC_012850	Rhizobium leguminosarum bv. trifolii WSM1325| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	Rleg_1294	1273444..1275885	"cellulose synthase subunit B"
YP_005510706	384128093	NC_017161	Hydrogenobacter thermophilus TK-6| Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobacter.	Hydth_0003	1382..2350	"hypothetical protein"
YP_002445294	218896883	NC_011772	Bacillus cereus G9842| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BCG9842_B3427	1778132..1778296	"hypothetical protein"
YP_006208863	386735682	NC_017729	Bacillus anthracis str. H9401| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	H9401_1809	1789355..1789519	"hypothetical protein"
YP_006675223	405751758	NC_018585	Listeria monocytogenes SLCC2378| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMOSLCC2378_0554	574147..576198	"hypothetical protein"
YP_003164870	257126756	NC_013192	Leptotrichia buccalis C-1013-b| Bacteria; Fusobacteria; Fusobacteriales; Leptotrichiaceae; Leptotrichia.	Lebu_2017	complement(2141189..2141848)	"Sua5/YciO/YrdC/YwlC family protein"
YP_005970351	386052793	NC_017547	Listeria monocytogenes Finland 1998| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	LMLG_2777	562217..564268	"hypothetical protein"
YP_007233870	431806972	NC_019908	Brachyspira pilosicoli P43/6/78| Bacteria; Spirochaetes; Spirochaetales; Brachyspiraceae; Brachyspira.	BPP43_01345	complement(285913..286914)	"glycerol-3-phosphate dehydrogenase"
YP_002569833	222525362	NC_012032	Chloroflexus sp. Y-400-fl| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Chy400_2107	2680440..2682503	"hypothetical protein"
YP_007602772	470206197	NC_020557	Listeria monocytogenes| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	BN418_0607	507926..509128	"Uncharacterized protein ydaN"
YP_008625037	549696340	NC_022530	Bacillus amyloliquefaciens subsp. plantarum NAU-B3| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BAPNAU_0395	446807..448912	"Cyclic di-GMP-binding protein"
YP_005925535	386007257	NC_017529	Listeria monocytogenes L99| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	lmo4a_0544	574221..576272	"hypothetical protein"
YP_081308	52082517	NC_006270	Bacillus licheniformis DSM 13 = ATCC 14580| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BL00181	4072146..4074272	"cellulose synthase"
YP_007605909	470209335	NC_020558	Listeria monocytogenes N53-1| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	BN419_0615	507898..508908	"Uncharacterized protein ydaN"
YP_003725820	298674070	NC_014253	Methanohalobium evestigatum Z-7303| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalobium.	Metev_0092	99522..100526	"IS605 OrfB family transposase"
