NCBI_Genome_RefSeq_ID	Species Name
NC_014909	Candidatus Blochmannia vafer str. BVAF
NC_008512	Candidatus Carsonella ruddii PV
NC_010424	Candidatus Desulforudis audaxviator MP104C
NC_019566	Candidatus Endolissoclinum faulkneri L2
NC_012751	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)
NC_012960	Candidatus Hodgkinia cicadicola Dsem
NC_019814	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)
NC_019815	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
NC_020294	Candidatus Kinetoplastibacterium desouzaii TCC079E
NC_020284	Candidatus Kinetoplastibacterium galatii TCC219
NC_020299	Candidatus Kinetoplastibacterium oncopeltii TCC290E
NC_010482	Candidatus Korarchaeum cryptofilum OPF8
NC_008009	Candidatus Koribacter versatilis Ellin345
NC_022793	Candidatus Liberibacter americanus str. Sao Paulo
NC_012985	Candidatus Liberibacter asiaticus str. psy62
NC_014774	Candidatus Liberibacter solanacearum CLso-ZC1
NC_021353	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
NC_020913	Candidatus Methanomethylophilus alvus Mx1201
NC_013260	Candidatus Methylomirabilis oxyfera
NC_015722	Candidatus Midichloria mitochondrii IricVA
NC_015735	Candidatus Moranella endobia PCIT
NC_018219	Candidatus Mycoplasma haemolamae str. Purdue
NC_021007	Candidatus Mycoplasma haemominutum 'Birmingham 1'
NC_021919	Candidatus Nasuia deltocephalinicola str. NAS-ALF
NC_018655	Candidatus Nitrosopumilus koreensis AR1
NC_018656	Candidatus Nitrosopumilus sp. AR2
NC_018719	Candidatus Nitrososphaera gargensis Ga9.2
NC_014355	Candidatus Nitrospira defluvii
NC_015380	Candidatus Pelagibacter sp. IMCC9063
NC_007205	Candidatus Pelagibacter ubique HTCC1062
NC_010544	Candidatus Phytoplasma australiense
NC_011047	Candidatus Phytoplasma mali
NC_022588	Candidatus Phytoplasma solani 284/09
NC_018507	Candidatus Portiera aleyrodidarum BT-B-HRs
NC_005861	Candidatus Protochlamydia amoebophila UWE25
NC_014010	Candidatus Puniceispirillum marinum IMCC1322
NC_014109	Candidatus Riesia pediculicola USDA
NC_008610	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
NC_021219	Candidatus Saccharimonas aalborgensis
NC_008536	Candidatus Solibacter usitatus Ellin6076
NC_010118	Candidatus Sulcia muelleri GWSS
NC_022576	Candidatus Symbiobacter mobilis CR
NC_021555	Candidatus Tremblaya phenacola PAVE
NC_015736	Candidatus Tremblaya princeps PCIT
NC_020135	Candidatus Uzinura diaspidicola str. ASNER
NC_009465	Candidatus Vesicomyosocius okutanii HA
NC_014497	Candidatus Zinderia insecticola CARI
NC_015846	Capnocytophaga canimorsus Cc5
NC_013162	Capnocytophaga ochracea DSM 7271
NC_007503	Carboxydothermus hydrogenoformans Z-2901
NC_015391	Carnobacterium sp. 17-4
NC_013131	Catenulispora acidiphila DSM 44928
NC_002696	Caulobacter crescentus CB15
NC_011916	Caulobacter crescentus NA1000
NC_014100	Caulobacter segnis ATCC 21756
NC_010338	Caulobacter sp. K31
NC_015514	Cellulomonas fimi ATCC 484
NC_014151	Cellulomonas flavigena DSM 20109
NC_014934	Cellulophaga algicola DSM 14237
NC_015167	Cellulophaga lytica DSM 7489
NC_010995	Cellvibrio japonicus Ueda107
NC_014820	Cenarchaeum symbiosum A
NC_019697	Chamaesiphon minutus PCC 6605
NC_008254	Chelativorans sp. BNC1
NC_013132	Chitinophaga pinensis DSM 2588
NC_002620	Chlamydia muridarum str. Nigg
NC_017292	Chlamydia psittaci 02DC15
NC_015470	Chlamydia psittaci 6BC
NC_010287	Chlamydia trachomatis 434/Bu
NC_000117	Chlamydia trachomatis D/UW-3/CX
NC_004552	Chlamydophila abortus S26/3
NC_003361	Chlamydophila caviae GPIC
NC_007899	Chlamydophila felis Fe/C-56
NC_015408	Chlamydophila pecorum E58
NC_000922	Chlamydophila pneumoniae CWL029
NC_011027	Chlorobaculum parvum NCIB 8327
NC_007514	Chlorobium chlorochromatii CaD3
NC_010803	Chlorobium limicola DSM 245
NC_007512	Chlorobium luteolum DSM 273
NC_008639	Chlorobium phaeobacteroides DSM 266
NC_009337	Chlorobium phaeovibrioides DSM 265
NC_002932	Chlorobium tepidum TLS
NC_011831	Chloroflexus aggregans DSM 9485
NC_010175	Chloroflexus aurantiacus J-10-fl
NC_012032	Chloroflexus sp. Y-400-fl
NC_011026	Chloroherpeton thalassium ATCC 35110
NC_005085	Chromobacterium violaceum ATCC 12472
NC_007963	Chromohalobacter salexigens DSM 3043
NC_019695	Chroococcidiopsis thermalis PCC 7203
NC_021487	Chthonomonas calidirosea T49
NC_009792	Citrobacter koseri ATCC BAA-895
NC_013716	Citrobacter rodentium ICC168
NC_009480	Clavibacter michiganensis subsp. michiganensis NCPPB 382
NC_013895	Clostridiales genomosp. BVAB3 str. UPII9-5
NC_003030	Clostridium acetobutylicum ATCC 824
NC_015687	Clostridium acetobutylicum DSM 1731
NC_017295	Clostridium acetobutylicum EA 2018
NC_018664	Clostridium acidurici 9a
NC_022592	Clostridium autoethanogenum DSM 10061
NC_009617	Clostridium beijerinckii NCIMB 8052
NC_009697	Clostridium botulinum A str. ATCC 19397
NC_009495	Clostridium botulinum A str. ATCC 3502
NC_009698	Clostridium botulinum A str. Hall
NC_012563	Clostridium botulinum A2 str. Kyoto
NC_010520	Clostridium botulinum A3 str. Loch Maree
NC_010674	Clostridium botulinum B str. Eklund 17B (NRP)
NC_010516	Clostridium botulinum B1 str. Okra
NC_012658	Clostridium botulinum Ba4 str. 657
NC_010723	Clostridium botulinum E3 str. Alaska E43
NC_017297	Clostridium botulinum F str. 230613
NC_009699	Clostridium botulinum F str. Langeland
NC_017299	Clostridium botulinum H04402 065
NC_011898	Clostridium cellulolyticum H10
NC_014393	Clostridium cellulovorans 743B
NC_016627	Clostridium clariflavum DSM 19732
NC_009089	Clostridium difficile 630
NC_009706	Clostridium kluyveri DSM 555
NC_015275	Clostridium lentocellum DSM 5427
NC_014328	Clostridium ljungdahlii DSM 13528
NC_008593	Clostridium novyi NT
NC_021182	Clostridium pasteurianum BC1
NC_003366	Clostridium perfringens str. 13
NC_010001	Clostridium phytofermentans ISDg
NC_022571	Clostridium saccharobutylicum DSM 13864
NC_014376	Clostridium saccharolyticum WM1
NC_020291	Clostridium saccharoperbutylacetonicum N1-4(HMT)
NC_015737	Clostridium sp. SY8519
NC_020134	Clostridium stercorarium subsp. stercorarium DSM 8532
NC_014614	Clostridium sticklandii DSM 519
NC_004557	Clostridium tetani E88
NC_009012	Clostridium thermocellum ATCC 27405
NC_015856	Collimonas fungivorans Ter331
NC_003910	Colwellia psychrerythraea 34H
NC_013446	Comamonas testosteroni CNB-2
NC_013739	Conexibacter woesei DSM 14684
NC_021009	Coprococcus catus GD/7
NC_021018	Coprococcus sp. ART55/1
NC_011295	Coprothermobacter proteolyticus DSM 5265
NC_014008	Coraliomargarita akajimensis DSM 45221
NC_017030	Corallococcus coralloides DSM 2259
NC_015389	Coriobacterium glomerans PW2
NC_022198	Corynebacterium argentoratense DSM 44202
NC_012590	Corynebacterium aurimucosum ATCC 700975
NC_016802	Corynebacterium diphtheriae HC02
NC_004369	Corynebacterium efficiens YS-314
NC_003450	Corynebacterium glutamicum ATCC 13032
NC_009342	Corynebacterium glutamicum R
NC_020302	Corynebacterium halotolerans YIM 70093 = DSM 44683
NC_007164	Corynebacterium jeikeium K411
NC_012704	Corynebacterium kroppenstedtii DSM 44385
NC_021915	Corynebacterium maris DSM 45190
NC_014329	Corynebacterium pseudotuberculosis FRC41
NC_015673	Corynebacterium resistens DSM 45100
NC_021663	Corynebacterium terpenotabidum Y-11
NC_015683	Corynebacterium ulcerans BR-AD22
NC_010545	Corynebacterium urealyticum DSM 7109
NC_015859	Corynebacterium variabile DSM 44702
NC_002971	Coxiella burnetii RSA 493
NC_019753	Crinalium epipsammum PCC 9333
NC_014230	Croceibacter atlanticus HTCC2559
NC_009778	Cronobacter sakazakii ATCC BAA-894
NC_023032	Cronobacter sakazakii CMCC 45402
NC_020260	Cronobacter sakazakii SP291
NC_013282	Cronobacter turicensis z3032
NC_013170	Cryptobacterium curtum DSM 15641
NC_007974	Cupriavidus metallidurans CH34
NC_007973	Cupriavidus metallidurans CH34
NC_015723	Cupriavidus necator N-1
NC_010530	Cupriavidus taiwanensis LMG 19424
NC_019776	Cyanobacterium aponinum PCC 10605
NC_019778	Cyanobacterium stanieri PCC 7202
NC_019675	Cyanobium gracile PCC 6307
NC_011729	Cyanothece sp. PCC 7424
NC_011884	Cyanothece sp. PCC 7425
NC_014501	Cyanothece sp. PCC 7822
NC_011726	Cyanothece sp. PCC 8801
NC_013161	Cyanothece sp. PCC 8802
NC_015914	Cyclobacterium marinum DSM 745
NC_018697	Cycloclasticus sp. P1
NC_021917	Cycloclasticus zancles 7-ME
NC_019757	Cylindrospermum stagnale PCC 7417
NC_008255	Cytophaga hutchinsonii ATCC 33406
NC_019780	Dactylococcopsis salina PCC 8305
NC_007298	Dechloromonas aromatica RCB
NC_016616	Dechlorosoma suillum PS
NC_013939	Deferribacter desulfuricans SSM1
NC_018867	Dehalobacter sp. CF
NC_002936	Dehalococcoides ethenogenes 195
NC_009455	Dehalococcoides sp. BAV1
NC_007356	Dehalococcoides sp. CBDB1
NC_013890	Dehalococcoides sp. GT
NC_013552	Dehalococcoides sp. VS
NC_014314	Dehalogenimonas lykanthroporepellens BL-DC-9
NC_012526	Deinococcus deserti VCD115
NC_008025	Deinococcus geothermalis DSM 11300
NC_017790	Deinococcus gobiensis I-0
NC_014958	Deinococcus maricopensis DSM 21211
NC_019793	Deinococcus peraridilitoris DSM 19664
NC_015161	Deinococcus proteolyticus MRP
NC_001263	Deinococcus radiodurans R1
NC_010002	Delftia acidovorans SPH-1
NC_015563	Delftia sp. Cs1-4
NC_013943	Denitrovibrio acetiphilus DSM 12809
NC_014365	Desulfarculus baarsii DSM 2075
NC_011768	Desulfatibacillum alkenivorans AK-01
NC_018017	Desulfitobacterium dehalogenans ATCC 51507
NC_019903	Desulfitobacterium dichloroeliminans LMG P-21439
NC_007907	Desulfitobacterium hafniense Y51
NC_015388	Desulfobacca acetoxidans DSM 11109
NC_012108	Desulfobacterium autotrophicum HRM2
NC_018645	Desulfobacula toluolica Tol2
NC_014972	Desulfobulbus propionicus DSM 2032
NC_020304	Desulfocapsa sulfexigens DSM 10523
NC_009943	Desulfococcus oleovorans Hxd3
NC_013223	Desulfohalobium retbaense DSM 5692
NC_013173	Desulfomicrobium baculatum DSM 4028
NC_018025	Desulfomonile tiedjei DSM 6799
NC_018068	Desulfosporosinus acidiphilus SJ4
NC_018515	Desulfosporosinus meridiei DSM 13257
NC_016584	Desulfosporosinus orientis DSM 765
NC_006138	Desulfotalea psychrophila LSv54
NC_013216	Desulfotomaculum acetoxidans DSM 771
NC_015565	Desulfotomaculum carboxydivorans CO-1-SRB
NC_021184	Desulfotomaculum gibsoniae DSM 7213
NC_015573	Desulfotomaculum kuznetsovii DSM 6115
NC_009253	Desulfotomaculum reducens MI-1
NC_015589	Desulfotomaculum ruminis DSM 2154
NC_014844	Desulfovibrio aespoeensis Aspo-2
NC_016629	Desulfovibrio africanus str. Walvis Bay
NC_007519	Desulfovibrio alaskensis G20
NC_016803	Desulfovibrio desulfuricans ND132
NC_011883	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774
NC_022444	Desulfovibrio gigas DSM 1382 = ATCC 19364
NC_022579	Desulfovibrio hydrothermalis
