YP_006468472	392427478	NC_018068	Desulfosporosinus acidiphilus SJ4| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfosporosinus.	Desaci_4289	complement(4431933..4432256)	"mannose-1-phosphate guanylyltransferase"
YP_007361448	442321427	NC_020126	Myxococcus stipitatus DSM 14675| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MYSTI_04470	complement(5778555..5778917)	"cupin domain-containing protein"
YP_004243767	325967575	NC_015151	Vulcanisaeta moutnovskia 768-28| Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta.	VMUT_0048	complement(49285..49659)	"mannose-6-phosphate isomerase"
YP_005370505	383456516	NC_017030	Corallococcus coralloides DSM 2259| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Corallococcus.	COCOR_04539	complement(5745591..5745953)	"cupin domain-containing protein"
YP_005029431	372489866	NC_016616	Dechlorosoma suillum PS| Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Azospira.	Dsui_3258	complement(3497713..3498105)	"mannose-6-phosphate isomerase"
YP_008877118	564290803	NC_023013	Haloarcula hispanica N601| Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarcula.	HISP_13325	2548664..2548966	"cupin"
YP_004668069	338534735	NC_015711	Myxococcus fulvus HW-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	LILAB_25490	6026478..6026840	"cupin domain-containing protein"
YP_003013690	251798959	NC_012914	Paenibacillus sp. JDR-2| Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus.	Pjdr2_4993	complement(5708403..5709611)	"mannose-1-phosphate guanylyltransferase-like protein"
NP_791060	28868441	NC_004578	Pseudomonas syringae pv. tomato str. DC3000| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PSPTO_1230	complement(1347973..1348083)	"hypothetical protein"
YP_004718682	339627039	NC_015757	Sulfobacillus acidophilus TPY| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus.	TPY_0744	697723..698031	"cupin domain-containing protein"
YP_533728	90425358	NC_007925	Rhodopseudomonas palustris BisB18| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas.	RPC_3880	complement(4312755..4313246)	"cupin 2 barrel domain-containing protein"
