YP_003893546	307352495	NC_014507	Methanoplanus petrolearius DSM 11571| Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanoplanus.	Mpet_0334	340097..341023	"tetratricopeptide repeat-containing protein"
YP_004336490	331700251	NC_015312	Pseudonocardia dioxanivorans CB1190| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Pseudonocardia.	Psed_6549	6929797..6930834	"hypothetical protein"
YP_002754203	225872746	NC_012483	Acidobacterium capsulatum ATCC 51196| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Acidobacterium.	ACP_1098	1263301..1265427	"hypothetical protein"
YP_842935	116753817	NC_008553	Methanosaeta thermophila PT| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	Mthe_0504	complement(515674..516183)	"TPR repeat-containing protein"
YP_004235988	326318316	NC_015138	Acidovorax avenae subsp. avenae ATCC 19860| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax.	Acav_3522	3991034..3992842	"hypothetical protein"
YP_001816352	172065640	NC_010557	Burkholderia ambifaria MC40-6| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	BamMC406_6369	972343..974166	"hypothetical protein"
YP_006737994	407460219			
YP_389495	78358046	NC_007519	Desulfovibrio alaskensis G20| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	Dde_3006	2991966..2993321	"hypothetical protein"
NP_869477	32476483	NC_005027	Rhodopirellula baltica SH 1| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Rhodopirellula.	RB10541	5718795..5719784	"TPR repeat-containing O-linked GlcNAc transferase"
YP_008991212	568318928	NC_023151	Thermotoga maritima MSB8| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	THEMA_05765	complement(1140899..1141957)	"hypothetical protein"
YP_004194666	320353327	NC_014972	Desulfobulbus propionicus DSM 2032| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfobulbus.	Despr_1206	complement(1368598..1369209)	"hypothetical protein"
YP_305956	73669941	NC_007355	Methanosarcina barkeri str. Fusaro| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina.	Mbar_A2461	3108742..3109938	"hypothetical protein"
YP_822577	116620421	NC_008536	Candidatus Solibacter usitatus Ellin6076| Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae; Candidatus Solibacter.	Acid_1298	1598656..1600599	"hypothetical protein"
NP_635134	21229212	NC_003901	Methanosarcina mazei Go1| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina.	MM_3110	complement(3780417..3781598)	"hypothetical protein"
YP_001533299	159044505	NC_009952	Dinoroseobacter shibae DFL 12 = DSM 16493| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Dinoroseobacter.	Dshi_1957	complement(2051005..2052432)	"hypothetical protein"
YP_004199107	322419884	NC_014973	Geobacter sp. M18| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	GM18_2373	complement(2858584..2859375)	"hypothetical protein"
YP_008648471	549729257	NC_022545	Rhizobium sp. IRBG74| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	BN877_II1192	complement(1229406..1230305)	"O-linked GlcNAc transferase"
YP_108277	53719291	NC_006350	Burkholderia pseudomallei K96243| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BPSL1666	1940157..1944521	"hypothetical protein"
YP_886221	118471199	NC_008596	Mycobacterium smegmatis str. MC2 155| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	MSMEG_1855	1932788..1933810	"hypothetical protein"
YP_001047224	126179259	NC_009051	Methanoculleus marisnigri JR1| Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanoculleus.	Memar_1312	1293866..1297075	"TPR repeat-containing protein"
YP_006566582	399986233	NC_018289	Mycobacterium smegmatis str. MC2 155| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	MSMEI_1815	1934402..1935424	"hypothetical protein"
YP_004432422	332304571	NC_015497	Glaciecola sp. 4H-3-7+YE-5| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola.	Glaag_0185	214392..215237	"thioredoxin domain-containing protein"
YP_005920740	386002441	NC_017527	Methanosaeta harundinacea 6Ac| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	Mhar_1759	1893381..1894763	"putative membrane protein, containing TPR repeats"
YP_004660455	338731063	NC_015707	Thermotoga thermarum DSM 5069| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Theth_1288	1279619..1281181	"hypothetical protein"
YP_004526270	333993657	NC_015577	Treponema azotonutricium ZAS-9| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TREAZ_1637	737299..739896	"putative slei family protein"
YP_007337334	440223938	NC_020062	Rhizobium tropici CIAT 899| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	RTCIAT899_PC04960	1054746..1055591	"putative hydantoinase"
YP_001821155	182416089	NC_010571	Opitutus terrae PB90-1| Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Opitutus.	Oter_4282	5550854..5553001	"hypothetical protein"
YP_003849093	304313946	NC_014408	Methanothermobacter marburgensis str. Marburg| Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter.	MTBMA_c01710	complement(176958..178091)	"tetratricopeptide repeat domain-containing protein"
YP_005070450	479130490	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_K02650	4128753..4130951	"serine/threonine protein kinase containing TPR domain"
YP_004181782	320106192	NC_014963	Terriglobus saanensis SP1PR4| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	AciPR4_0955	1130743..1132806	"hypothetical protein"
YP_006766152	410478515	NC_018649	Leptospirillum ferriphilum ML-04| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum.	LFML04_0960	complement(902288..902902)	"hypothetical protein"
YP_001244585	148270125	NC_009486	Thermotoga petrophila RKU-1| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Tpet_0991	1020931..1022004	"TPR repeat-containing protein"
YP_006652884	403518751	NC_018527	Burkholderia pseudomallei BPC006| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BPC006_I2103	complement(2072338..2076693)	"hypothetical protein"
YP_007791803	479163069	NC_021017	Bacteroides xylanisolvens XB1A| Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	BXY_10680	1241586..1242269	"hypothetical protein"
YP_006274637	386861688	NC_017831	Burkholderia pseudomallei 1026b| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BP1026B_I1611	1747654..1752009	"hypothetical protein"
YP_003059118	254293095	NC_012982	Hirschia baltica ATCC 49814| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Hirschia.	Hbal_0727	774778..776760	"hypothetical protein"
YP_003640596	296133349	NC_014152	Thermincola potens JR| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Thermincola.	TherJR_1846	complement(1903173..1903832)	"hypothetical protein"
YP_005057514	374311084	NC_016631	Granulicella mallensis MP5ACTX8| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Granulicella.	AciX8_2156	2563893..2565983	"hypothetical protein"
YP_008315476	525957875	NC_021848	Vibrio parahaemolyticus O1:K33 str. CDC_K4557| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	M636_10535	complement(500871..502322)	"hypothetical protein"
YP_004159297	319899204			
YP_003817539	302381716	NC_014375	Brevundimonas subvibrioides ATCC 15264| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas.	Bresu_0601	607331..608158	"hypothetical protein"
YP_008435493	530893778	NC_022097	Treponema pedis str. T A4| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TPE_1883	complement(1914550..1915197)	"hypothetical protein"
YP_007135991	428297685	NC_019751	Calothrix sp. PCC 6303| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal6303_0954	complement(1124912..1126261)	"hypothetical protein"
YP_004122968	317154920	NC_014844	Desulfovibrio aespoeensis Aspo-2| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	Daes_3233	complement(3496569..3497270)	"hypothetical protein"
YP_003642065	296134823	NC_014153	Thiomonas intermedia K12| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Thiomonas.	Tint_0323	342742..344943	"Tetratricopeptide TPR_4"
YP_001859212	186477742	NC_010622	Burkholderia phymatum STM815| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	Bphy_2996	complement(3356423..3358303)	"TPR repeat-containing protein"
YP_003850485	304315338	NC_014408	Methanothermobacter marburgensis str. Marburg| Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter.	MTBMA_c15930	1466636..1467796	"tetratricopeptide repeat domain-containing protein"
YP_333589	76809563	NC_007434	Burkholderia pseudomallei 1710b| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BURPS1710b_2194	complement(2440037..2444392)	"hypothetical protein"
YP_378657	78188319	NC_007514	Chlorobium chlorochromatii CaD3| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium/Pelodictyon group; Chlorobium.	Cag_0341	complement(384212..386470)	"TPR repeat-containing protein"
YP_008637089	549713226	NC_022541	Xanthomonas fuscans subsp. fuscans| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas.	XFF4834R_chr02090	246589..248082	"putative transcriptional regulator"
YP_002482794	220907483	NC_011884	Cyanothece sp. PCC 7425| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan7425_2070	1963356..1964150	"hypothetical protein"
YP_814722	116629550	NC_008530	Lactobacillus gasseri ATCC 33323| Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	LGAS_0895	886175..887476	"TPR repeat-containing protein"
YP_004825627	345303725	NC_015966	Rhodothermus marinus SG0.5JP17-172| Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus.	Rhom172_1876	complement(2145698..2146921)	"hypothetical protein"
YP_007117030	428319148	NC_019729	Oscillatoria nigro-viridis PCC 7112| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Oscillatoria.	Osc7112_4302	5109018..5112074	"histidine kinase"
YP_007063921	427715927	NC_019682	Calothrix sp. PCC 7507| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal7507_0597	634890..635966	"hypothetical protein"
YP_007275734	433658355	NC_019955	Vibrio parahaemolyticus BB22OP| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VPBB_2094	2324002..2325453	"Exported zinc metalloprotease YfgC precursor"
YP_007164529	428772741	NC_019778	Cyanobacterium stanieri PCC 7202| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanobacterium.	Cyast_0908	1013116..1014210	"hypothetical protein"
YP_006735906	407457601			
YP_004040775	313202117	NC_014733	Methylovorus sp. MP688| Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylovorus.	MPQ_2395	complement(2450291..2451244)	"hypothetical protein"
YP_008340390	526472605	NC_021884	Burkholderia pseudomallei MSHR305| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BDL_210	248245..252600	"glycosyltransferase 9 family protein"
YP_075548	51892857	NC_006177	Symbiobacterium thermophilum IAM 14863| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVIII. Incertae Sedis; Symbiobacterium.	STH1719	1866095..1867363	"hypothetical protein"
YP_006733759	407454868			
YP_004699331	339501296	NC_015732	Treponema caldaria DSM 7334| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Spica_2727	complement(3081979..3084993)	"hypothetical protein"
YP_001997990	193212037	NC_011027	Chlorobaculum parvum NCIB 8327| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum.	Cpar_0366	complement(394457..395062)	"TPR repeat-containing protein"
YP_004513492	333984282	NC_015572	Methylomonas methanica MC09| Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomonas.	Metme_2603	complement(2868793..2871192)	"hypothetical protein"
YP_002493579	220918275	NC_011891	Anaeromyxobacter dehalogenans 2CP-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	A2cp1_3178	3521806..3522441	"hypothetical protein"
YP_004195812	320354473	NC_014972	Desulfobulbus propionicus DSM 2032| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfobulbus.	Despr_2380	complement(2739744..2741489)	"hypothetical protein"
YP_003289453	268315734	NC_013501	Rhodothermus marinus DSM 4252| Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus.	Rmar_0157	complement(170740..172137)	"hypothetical protein"
YP_003622972	410692351	NC_014145	Thiomonas arsenitoxydans| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Thiomonas.	THI_0359	360881..363142	"putative UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT"
YP_007491731	452211617	NC_020389	Methanosarcina mazei Tuc01| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina.	MmTuc01_3202	complement(3172944..3174113)	"GTP cyclohydrolase III (methanopterin)"
YP_008088829	512550923	NC_021487	Chthonomonas calidirosea T49| Bacteria; Armatimonadetes; Chthonomonadetes; Chthonomonadales; Chthonomonadaceae; Chthonomonas.	CCALI_00873	1026420..1026791	"Tetratricopeptide repeat./TPR repeat"
YP_003760968	300114393	NC_014315	Nitrosococcus watsonii C-113| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Nitrosococcus.	Nwat_1783	1967644..1970439	"PEP-CTERM system TPR-repeat lipoprotein"
NP_767367	27375838	NC_004463	Bradyrhizobium diazoefficiens USDA 110| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	blr0727	775792..776904	"hypothetical protein"
YP_006739042	406591862			
NP_924848	37521471	NC_005125	Gloeobacter violaceus PCC 7421| Bacteria; Cyanobacteria; Gloeobacteria; Gloeobacterales; Gloeobacter.	glr1902	2021742..2022722	"hypothetical protein"
YP_589988	94967940	NC_008009	Candidatus Koribacter versatilis Ellin345| Bacteria; Acidobacteria; Candidatus Koribacter.	Acid345_0911	1145129..1146676	"hypothetical protein"
YP_004235780	326318108	NC_015138	Acidovorax avenae subsp. avenae ATCC 19860| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax.	Acav_3311	3764673..3765983	"type 12 methyltransferase"
YP_002603222	224369058	NC_012108	Desulfobacterium autotrophicum HRM2| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfobacterium.	HRM2_19570	complement(2204940..2207303)	"hypothetical protein"
YP_001469913	157363146	NC_009828	Thermotoga lettingae TMO| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Tlet_0279	complement(297001..298644)	"hypothetical protein"
YP_001018408	124024101	NC_008820	Prochlorococcus marinus str. MIT 9303| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	P9303_24101	complement(2120842..2123019)	"hypothetical protein"
YP_503233	88603055	NC_007796	Methanospirillum hungatei JF-1| Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanospirillum.	Mhun_1793	2027646..2028287	"hypothetical protein"
YP_007138864	428300558	NC_019751	Calothrix sp. PCC 6303| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal6303_3976	complement(4753576..4754256)	"hypothetical protein"
YP_004620353	337280881	NC_015677	Ramlibacter tataouinensis TTB310| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter.	Rta_32230	complement(3430412..3432163)	"FlbA protein"
YP_004848744	347541318	NC_016002	Pseudogulbenkiania sp. NH8B| Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Pseudogulbenkiania.	NH8B_3580	complement(3755981..3757768)	"hypothetical protein"
YP_002249256	206890955	NC_011296	Thermodesulfovibrio yellowstonii DSM 11347| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Thermodesulfovibrio.	THEYE_A1458	complement(1391906..1393534)	"TPR domain-containing protein"
YP_004511624	333982414	NC_015572	Methylomonas methanica MC09| Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomonas.	Metme_0682	734816..736627	"hypothetical protein"
YP_478684	86609922	NC_007776	Synechococcus sp. JA-2-3B'a(2-13)| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	CYB_2488	2583792..2584970	"hypothetical protein"
YP_866873	117926256	NC_008576	Magnetococcus marinus MC-1| Bacteria; Proteobacteria; Alphaproteobacteria; Magnetococcales; Magnetococcaceae; Magnetococcus.	Mmc1_2976	3697780..3700485	"hypothetical protein"
YP_007516817	459293660	NC_020453	Bradyrhizobium oligotrophicum S58| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	S58_72660	complement(8244281..8246227)	"putative TPR domain protein"
YP_002944183	239815273	NC_012791	Variovorax paradoxus S110| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax.	Vapar_2288	complement(2429404..2431626)	"hypothetical protein"
YP_007491336	452211222	NC_020389	Methanosarcina mazei Tuc01| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina.	MmTuc01_2778	2752831..2756088	"hypothetical protein"
YP_007122936	428311959	NC_019738	Microcoleus sp. PCC 7113| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Microcoleus.	Mic7113_3813	complement(4424511..4425755)	"Tfp pilus assembly protein PilF"
YP_065926	51246042	NC_006138	Desulfotalea psychrophila LSv54| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfotalea.	DP2190	complement(2509741..2513580)	"hypothetical protein"
YP_003798158	302037836	NC_014355	Candidatus Nitrospira defluvii| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Nitrospira.	NIDE2523	complement(2465211..2466914)	"hypothetical protein"
YP_004846127	347538703	NC_016002	Pseudogulbenkiania sp. NH8B| Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Pseudogulbenkiania.	NH8B_0881	complement(905583..907685)	"TPR domain/sulfotransferase domain containing protein"
YP_007162910	428771120	NC_019776	Cyanobacterium aponinum PCC 10605| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanobacterium.	Cyan10605_2799	complement(3333574..3334677)	"hypothetical protein"
YP_825799	116623643	NC_008536	Candidatus Solibacter usitatus Ellin6076| Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae; Candidatus Solibacter.	Acid_4555	5756376..5758022	"hypothetical protein"
YP_593677	94971629	NC_008009	Candidatus Koribacter versatilis Ellin345| Bacteria; Acidobacteria; Candidatus Koribacter.	Acid345_4603	complement(5450933..5453101)	"hypothetical protein"
YP_934693	119899480			
